rank,macro_segment,query,sample_size,paired_listing_count,unique_shop_count,positive_shop_pct,positive_listing_pct,median_positive_velocity_30d,top_shop_share,top_3_shop_share,median_price,MarketSignalScore,EntryOpportunityScore,PersistenceScore,ConfidenceScore,BroadOpportunityScore,interval_count,persistence_status,ip_risk,flags,verdict
1,Hobbies / outdoors,personalized fishing shirt,10,0,9,,,,,,36.3,94.0,93.75,,51.66666666666667,78.00901875,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
2,Pets,personalized dog shirt owner,10,0,10,,,,,,14.254999999999999,88.0,91.25,,51.66666666666667,74.27442291666667,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
3,Baby / newborn,personalized new dad shirt,10,0,8,,,,,,21.255000000000003,88.0,90.625,,51.66666666666667,74.05113645833333,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
4,Generic sports,personalized basketball birthday shirt,10,0,10,,,,,,12.375,88.0,82.8125,,51.66666666666667,71.26005572916667,1,UNVALIDATED,MEDIUM,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
5,Kids birthdays,personalized construction birthday shirt,10,0,9,,,,,,13.129999999999999,82.0,88.125,,51.66666666666667,70.31654062499999,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
5,Graduation,personalized graduation shirt,10,0,9,,,,,,15.12,82.0,88.125,,51.66666666666667,70.31654062499999,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
5,Memorial / sentimental,personalized memorial shirt,10,0,9,,,,,,15.375,82.0,88.125,,51.66666666666667,70.31654062499999,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
5,Teacher / school,personalized teacher shirt,10,0,9,,,,,,17.09,82.0,88.125,,51.66666666666667,70.31654062499999,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
9,Wedding / bridal,personalized bridal party shirt,10,0,9,,,,,,13.78,82.0,77.8125,,51.66666666666667,66.6323140625,1,UNVALIDATED,MEDIUM,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
10,Adult milestone birthdays,personalized 50th birthday shirt,10,0,8,,,,,,15.12,76.0,85.0,,51.66666666666667,66.35865833333332,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
10,Family / relatives,personalized dad shirt,10,0,8,,,,,,15.12,76.0,85.0,,51.66666666666667,66.35865833333332,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
10,Family / relatives,personalized grandpa shirt,10,0,8,,,,,,14.51,76.0,85.0,,51.66666666666667,66.35865833333332,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
10,Adult milestone birthdays,personalized retirement shirt,10,0,8,,,,,,13.594999999999999,76.0,85.0,,51.66666666666667,66.35865833333332,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
14,Family / relatives,personalized family shirt,10,0,8,,,,,,13.85,76.0,83.125,,51.66666666666667,65.68879895833334,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
15,Family trips / vacations,personalized family vacation shirts,10,0,7,,,,,,12.945,70.0,80.0,,49.791666666666664,61.24332291666666,1,UNVALIDATED,LOW,INSUFFICIENT_HISTORY,DEEP_SCAN_RESEARCH
16,Hobbies / outdoors,personalized camping family shirt,10,0,7,,,,,,6.6499999999999995,56.0,73.4375,,49.791666666666664,52.339652408854164,1,UNVALIDATED,LOW,POOR_PRICE_FIT;INSUFFICIENT_HISTORY,RECHECK
17,Occupations / professions,custom mechanic shirt name,10,0,9,,,,,,22.634999999999998,94.0,18.75,,51.66666666666667,51.21464375,1,UNVALIDATED,HIGH,HIGH_IP_RISK;INSUFFICIENT_HISTORY,REJECT
18,Kids birthdays,personalized birthday shirt kids,10,0,9,,,,,,17.3,82.0,17.34375,,51.66666666666667,45.02934921875,1,UNVALIDATED,HIGH,HIGH_IP_RISK;INSUFFICIENT_HISTORY,REJECT
