query,macro_segment,BroadOpportunityScore,MarketSignalScore,EntryOpportunityScore,PersistenceScore,ConfidenceScore,persistence_status,deep_scan_level
personalized fishing shirt,Hobbies / outdoors,78.00901875,94.0,93.75,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized dog shirt owner,Pets,74.27442291666667,88.0,91.25,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized new dad shirt,Baby / newborn,74.05113645833333,88.0,90.625,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized basketball birthday shirt,Generic sports,71.26005572916667,88.0,82.8125,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized construction birthday shirt,Kids birthdays,70.31654062499999,82.0,88.125,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized graduation shirt,Graduation,70.31654062499999,82.0,88.125,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized memorial shirt,Memorial / sentimental,70.31654062499999,82.0,88.125,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized teacher shirt,Teacher / school,70.31654062499999,82.0,88.125,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized bridal party shirt,Wedding / bridal,66.6323140625,82.0,77.8125,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized 50th birthday shirt,Adult milestone birthdays,66.35865833333332,76.0,85.0,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized dad shirt,Family / relatives,66.35865833333332,76.0,85.0,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized grandpa shirt,Family / relatives,66.35865833333332,76.0,85.0,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized retirement shirt,Adult milestone birthdays,66.35865833333332,76.0,85.0,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized family shirt,Family / relatives,65.68879895833334,76.0,83.125,,51.66666666666667,UNVALIDATED,RESEARCH_ONLY
personalized family vacation shirts,Family trips / vacations,61.24332291666666,70.0,80.0,,49.791666666666664,UNVALIDATED,RESEARCH_ONLY
